,Time,PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),PT08.S5(O3),T,RH,AH,PT08.S4(NO2)
74,74,1611.0,19.2,1274.0,754.0,1697.0,15.7,44.1,0.7786,1915.0
75,75,1621.0,18.3,1247.0,762.0,1886.0,15.3,46.8,0.8091,1860.0
76,76,1444.0,13.1,1089.0,844.0,1624.0,14.6,48.6,0.806,1748.0
77,77,1418.0,10.9,1010.0,892.0,1536.0,14.7,49.3,0.8193,1603.0
78,78,1534.0,11.0,1013.0,889.0,1535.0,13.9,53.6,0.8498,1611.0
79,79,1484.0,11.9,1045.0,880.0,1530.0,14.6,51.5,0.8536,1624.0
80,80,1367.0,8.6,925.0,953.0,1337.0,12.5,58.9,0.8537,1543.0
81,81,1344.0,9.7,968.0,921.0,1278.0,11.6,63.4,0.8674,1620.0
82,82,1130.0,5.2,773.0,1130.0,1051.0,12.1,61.1,0.8603,1452.0
83,83,1062.0,3.7,691.0,1272.0,929.0,11.5,63.1,0.8533,1377.0
84,84,1076.0,2.5,618.0,1395.0,872.0,11.6,62.2,0.8473,1333.0
85,85,1028.0,2.4,615.0,1384.0,853.0,10.4,67.6,0.853,1340.0
86,86,1155.0,4.2,722.0,1225.0,959.0,11.6,62.7,0.853,1414.0
87,87,1235.0,6.4,828.0,1055.0,1093.0,12.4,60.0,0.8627,1527.0
88,88,1332.0,8.6,923.0,952.0,1225.0,14.5,53.1,0.8728,1614.0
89,89,1445.0,10.9,1009.0,878.0,1355.0,16.9,46.1,0.8789,1696.0
90,90,1416.0,10.7,1002.0,907.0,1262.0,19.3,38.3,0.8474,1677.0
91,91,1281.0,7.5,880.0,1084.0,980.0,21.2,31.4,0.7812,1525.0
92,92,1207.0,7.5,879.0,1104.0,872.0,21.4,30.2,0.7616,1490.0
93,93,1258.0,8.2,906.0,1081.0,900.0,21.9,29.0,0.7525,1511.0
94,94,1458.0,11.9,1045.0,974.0,1099.0,22.2,28.4,0.7516,1646.0
95,95,1438.0,12.0,1051.0,943.0,1206.0,21.3,30.8,0.7696,1668.0
96,96,1478.0,12.2,1055.0,929.0,1262.0,19.7,36.7,0.8307,1671.0
97,97,1808.0,20.6,1312.0,753.0,1698.0,18.4,41.7,0.8732,1993.0
98,98,1898.0,23.1,1381.0,681.0,1905.0,17.6,46.1,0.921,2103.0
99,99,1560.0,14.7,1140.0,784.0,1648.0,16.7,49.6,0.932,1818.0
100,100,1324.0,9.0,940.0,924.0,1423.0,16.3,51.0,0.9341,1587.0
101,101,1349.0,8.8,933.0,933.0,1349.0,14.7,55.9,0.9314,1617.0
102,102,1239.0,7.4,872.0,985.0,1250.0,14.8,54.7,0.9164,1547.0
103,103,1239.0,6.9,853.0,1010.0,1174.0,14.0,57.0,0.9094,1543.0
104,104,1224.0,7.0,855.0,998.0,1149.0,13.4,61.3,0.9361,1566.0
105,105,1078.0,4.4,734.0,1128.0,1021.0,12.6,63.5,0.923,1487.0
106,106,1078.0,4.0,711.0,1150.0,1013.0,12.3,65.4,0.9351,1468.0
107,107,1075.0,3.9,703.0,1156.0,1010.0,11.9,67.4,0.9375,1464.0
108,108,1157.0,6.4,830.0,1030.0,1083.0,11.4,70.5,0.9475,1584.0
109,109,1314.0,9.7,966.0,897.0,1235.0,11.3,70.2,0.9401,1710.0
110,110,1797.0,25.9,1451.0,652.0,1680.0,12.4,63.9,0.917,2323.0
111,111,1961.0,36.7,1701.0,537.0,2184.0,14.8,54.3,0.9076,2665.0
112,112,1771.0,26.6,1470.0,622.0,1973.0,17.4,45.6,0.8993,2262.0
113,113,1564.0,20.1,1300.0,710.0,1798.0,19.8,38.5,0.8801,2029.0
114,114,1430.0,14.1,1120.0,831.0,1522.0,22.0,34.1,0.8904,1783.0
115,115,1417.0,14.9,1146.0,830.0,1404.0,23.3,32.2,0.9096,1831.0
116,116,1400.0,15.4,1162.0,838.0,1263.0,23.9,30.0,0.8757,1829.0
117,117,1317.0,12.1,1053.0,926.0,1137.0,24.4,28.9,0.8736,1707.0
118,118,1318.0,11.5,1033.0,950.0,1068.0,24.4,29.4,0.8848,1675.0
119,119,1445.0,14.8,1141.0,857.0,1252.0,23.8,31.3,0.9137,1824.0
120,120,1917.0,32.1,1601.0,631.0,1843.0,22.5,35.4,0.9547,2447.0
121,121,2040.0,39.2,1754.0,542.0,2122.0,20.4,42.5,1.0086,2679.0
122,122,1895.0,31.0,1573.0,565.0,1992.0,18.3,52.6,1.0945,2443.0
123,123,1595.0,19.9,1294.0,678.0,1707.0,16.7,57.4,1.0786,2058.0
124,124,1439.0,15.3,1159.0,764.0,1494.0,15.7,60.2,1.0654,1856.0
125,125,1142.0,6.9,852.0,1008.0,1164.0,15.3,61.4,1.058,1547.0
126,126,1304.0,11.1,1019.0,852.0,1272.0,14.1,65.7,1.0494,1731.0
127,127,1074.0,5.4,784.0,1098.0,1040.0,14.8,60.6,1.0148,1483.0
128,128,968.0,2.8,640.0,1320.0,867.0,14.8,59.2,0.9879,1386.0
129,129,929.0,2.3,608.0,1376.0,826.0,13.6,62.1,0.9636,1364.0
130,130,941.0,2.6,626.0,1316.0,840.0,12.3,66.2,0.945,1373.0
131,131,937.0,2.0,585.0,1412.0,793.0,12.8,63.2,0.9283,1348.0
132,132,1017.0,3.5,681.0,1246.0,870.0,11.2,68.5,0.9081,1418.0
133,133,1171.0,5.1,770.0,1162.0,930.0,11.0,66.5,0.8705,1467.0
134,134,1541.0,16.2,1185.0,770.0,1407.0,11.7,63.7,0.8719,1889.0
135,135,1539.0,19.7,1287.0,698.0,1507.0,13.6,56.3,0.8743,2055.0
136,136,1735.0,25.1,1431.0,628.0,1843.0,17.8,42.9,0.8672,2211.0
137,137,1571.0,20.0,1297.0,730.0,1729.0,21.4,33.3,0.8417,1973.0
138,138,1452.0,18.3,1250.0,776.0,1583.0,24.4,27.4,0.8231,1868.0
139,139,1579.0,22.3,1359.0,724.0,1671.0,25.3,26.1,0.8264,1998.0
140,140,1466.0,20.4,1309.0,773.0,1491.0,25.8,23.2,0.7589,1897.0
141,141,1280.0,14.6,1136.0,893.0,1240.0,27.0,20.2,0.7094,1675.0
142,142,1407.0,16.6,1197.0,905.0,1313.0,28.2,18.6,0.7014,1759.0
143,143,1389.0,15.8,1173.0,898.0,1363.0,28.0,19.1,0.7098,1739.0
144,144,1447.0,17.8,1235.0,859.0,1296.0,23.9,25.7,0.7519,1778.0
145,145,1551.0,19.1,1271.0,800.0,1432.0,21.3,34.8,0.873,1875.0
146,146,1474.0,15.8,1173.0,854.0,1432.0,20.4,36.7,0.8704,1776.0
147,147,1800.0,24.9,1426.0,700.0,2034.0,19.0,41.3,0.9007,2106.0
148,148,1379.0,13.5,1101.0,818.0,1602.0,17.9,45.9,0.9342,1710.0
149,149,1201.0,9.1,943.0,935.0,1362.0,16.7,48.9,0.9226,1560.0
150,150,1205.0,8.6,925.0,922.0,1314.0,15.5,52.9,0.9271,1547.0
151,151,1072.0,5.4,784.0,1066.0,1114.0,15.5,51.9,0.9059,1442.0
152,152,998.0,4.1,714.0,1169.0,992.0,14.1,55.6,0.891,1383.0
153,153,933.0,2.6,625.0,1292.0,884.0,13.1,57.9,0.8666,1332.0
154,154,883.0,1.9,577.0,1396.0,808.0,12.7,57.9,0.8447,1303.0
155,155,869.0,1.6,554.0,1460.0,667.0,11.8,58.0,0.8026,1268.0
156,156,891.0,1.9,576.0,1417.0,733.0,11.9,57.4,0.7978,1289.0
157,157,1173.0,7.5,878.0,1038.0,1052.0,9.9,65.2,0.7956,1556.0
158,158,1587.0,21.4,1334.0,702.0,1534.0,11.1,60.2,0.7958,1999.0
159,159,1852.0,36.4,1696.0,553.0,1931.0,14.1,50.0,0.802,2535.0
160,160,1522.0,21.3,1331.0,703.0,1734.0,17.7,40.1,0.8048,2026.0
161,161,1438.0,15.4,1161.0,819.0,1595.0,21.1,33.4,0.8265,1782.0
162,162,1393.0,12.5,1067.0,905.0,1490.0,24.3,28.3,0.8471,1654.0
163,163,1452.0,15.1,1152.0,861.0,1508.0,25.6,25.6,0.8254,1747.0
164,164,1389.0,13.7,1108.0,887.0,1334.0,25.9,25.9,0.8503,1712.0
165,165,1207.0,10.4,994.0,1013.0,1045.0,26.8,18.7,0.65,1520.0
166,166,1365.0,15.2,1154.0,940.0,1221.0,29.3,15.8,0.6309,1679.0
167,167,1247.0,12.3,1060.0,1032.0,1069.0,28.5,14.9,0.5708,1525.0
168,168,1557.0,27.0,1478.0,793.0,1569.0,25.9,16.0,0.5237,1981.0
169,169,1973.0,38.4,1737.0,617.0,2306.0,23.1,26.5,0.7403,2414.0
170,170,1975.0,35.1,1667.0,597.0,2359.0,20.5,38.2,0.9133,2416.0
171,171,1795.0,27.2,1485.0,653.0,2050.0,19.1,42.6,0.9294,2174.0
172,172,1444.0,15.0,1150.0,770.0,1727.0,17.2,44.1,0.8558,1727.0
173,173,1488.0,15.7,1171.0,731.0,1705.0,16.0,50.9,0.9206,1778.0
174,174,1371.0,13.0,1083.0,796.0,1551.0,14.8,53.9,0.9024,1669.0
175,175,1161.0,8.1,904.0,947.0,1240.0,14.3,55.4,0.8975,1502.0
176,176,1064.0,5.5,787.0,1057.0,1115.0,14.8,52.1,0.8686,1407.0
177,177,970.0,3.6,687.0,1196.0,969.0,13.9,53.9,0.8501,1351.0
178,178,954.0,2.9,645.0,1260.0,925.0,11.6,61.9,0.8442,1334.0
179,179,931.0,2.5,623.0,1293.0,828.0,12.0,58.9,0.8233,1307.0
180,180,938.0,3.0,650.0,1251.0,893.0,10.9,62.1,0.8113,1333.0
181,181,1166.0,7.7,885.0,1005.0,1075.0,10.6,63.3,0.8067,1551.0
182,182,1643.0,23.3,1384.0,667.0,1610.0,11.5,60.0,0.8117,2094.0
183,183,1934.0,35.8,1682.0,541.0,2051.0,14.3,50.6,0.8186,2468.0
184,184,1617.0,21.3,1333.0,686.0,1819.0,17.8,40.5,0.821,2010.0
185,185,1473.0,14.3,1127.0,831.0,1568.0,20.8,34.4,0.8365,1752.0
186,186,1379.0,12.5,1068.0,899.0,1374.0,23.8,28.2,0.8219,1663.0
187,187,1385.0,12.2,1056.0,891.0,1268.0,24.2,28.7,0.8515,1648.0
188,188,1379.0,13.1,1087.0,901.0,1144.0,25.2,24.9,0.7829,1660.0
189,189,1322.0,14.4,1129.0,934.0,1109.0,27.0,17.8,0.6275,1639.0
190,190,1496.0,16.8,1205.0,822.0,1347.0,27.1,23.1,0.818,1767.0
191,191,1409.0,14.5,1131.0,873.0,1206.0,25.8,23.9,0.7832,1689.0
192,192,1513.0,21.5,1338.0,764.0,1397.0,23.0,26.8,0.7446,1957.0
193,193,1667.0,26.4,1464.0,683.0,1588.0,20.7,31.1,0.7523,2118.0
194,194,1667.0,26.0,1453.0,684.0,1569.0,18.6,36.2,0.7676,2051.0
195,195,1430.0,14.1,1121.0,814.0,1322.0,16.0,48.4,0.8768,1732.0
196,196,1333.0,10.3,989.0,885.0,1194.0,14.5,57.8,0.9456,1621.0
197,197,1262.0,8.3,911.0,948.0,1062.0,13.1,64.2,0.9606,1545.0
198,198,1287.0,8.9,936.0,918.0,1040.0,12.0,69.7,0.9735,1606.0
199,199,1134.0,6.6,840.0,1021.0,917.0,11.9,71.1,0.9915,1501.0
200,200,999.0,3.6,688.0,1229.0,594.0,12.5,69.3,1.0029,1380.0
201,201,961.0,2.5,622.0,1382.0,430.0,12.5,67.5,0.9768,1301.0
202,202,934.0,1.8,569.0,1440.0,397.0,12.3,67.7,0.9665,1280.0
203,203,913.0,1.3,525.0,1620.0,370.0,12.5,66.8,0.962,1260.0
204,204,969.0,2.3,607.0,1373.0,438.0,12.3,66.3,0.9487,1324.0
205,205,1182.0,6.7,845.0,1054.0,704.0,12.4,64.9,0.9332,1539.0
206,206,1740.0,22.8,1372.0,671.0,1476.0,13.0,61.6,0.9209,2144.0
207,207,1819.0,31.3,1582.0,575.0,1716.0,13.6,58.8,0.912,2456.0
208,208,1427.0,19.2,1275.0,701.0,1398.0,13.9,57.1,0.9032,1980.0
209,209,1390.0,16.4,1191.0,759.0,1268.0,14.5,54.4,0.8917,1879.0
210,210,1283.0,14.0,1117.0,813.0,1188.0,15.5,50.1,0.8744,1751.0
211,211,1304.0,15.3,1157.0,793.0,1171.0,16.1,47.6,0.8655,1801.0
212,212,1364.0,16.7,1202.0,771.0,1250.0,16.3,47.1,0.864,1875.0
213,213,1410.0,19.0,1268.0,724.0,1344.0,16.4,47.5,0.8791,1957.0
214,214,1476.0,19.4,1280.0,708.0,1378.0,16.1,50.2,0.9094,1955.0
215,215,1522.0,20.9,1320.0,690.0,1435.0,16.0,50.7,0.9142,2005.0
216,216,1442.0,20.2,1301.0,704.0,1372.0,15.8,50.3,0.8989,1952.0
217,217,1469.0,21.7,1344.0,677.0,1471.0,15.5,50.6,0.884,1997.0
218,218,1467.0,19.8,1292.0,698.0,1439.0,15.4,51.4,0.8956,1942.0
219,219,1421.0,16.7,1202.0,748.0,1429.0,15.2,53.1,0.9117,1854.0
220,220,1175.0,9.1,945.0,904.0,1081.0,14.7,57.6,0.9573,1604.0
221,221,1215.0,8.3,912.0,948.0,993.0,14.2,58.3,0.938,1547.0
222,222,1127.0,5.8,802.0,1064.0,837.0,13.8,57.9,0.9085,1447.0
223,223,1090.0,5.2,773.0,1105.0,761.0,13.9,55.9,0.8842,1429.0
224,224,1017.0,4.1,718.0,1182.0,650.0,13.9,55.6,0.8765,1382.0
225,225,997.0,3.4,677.0,1252.0,591.0,13.8,55.1,0.8666,1359.0
226,226,945.0,2.9,646.0,1308.0,505.0,13.8,54.6,0.8574,1332.0
227,227,956.0,3.1,661.0,1260.0,518.0,13.6,55.1,0.856,1351.0
228,228,966.0,2.5,622.0,1317.0,571.0,13.6,59.0,0.9129,1342.0
229,229,1064.0,4.3,728.0,1161.0,842.0,13.5,58.4,0.896,1461.0
230,230,1300.0,8.9,935.0,902.0,1145.0,13.8,58.0,0.9083,1623.0
231,231,1348.0,10.5,998.0,834.0,1218.0,14.6,53.1,0.8765,1689.0
232,232,1425.0,12.5,1068.0,776.0,1341.0,15.0,52.3,0.8881,1764.0
233,233,1474.0,12.3,1061.0,768.0,1406.0,15.4,52.1,0.9046,1768.0
234,234,1490.0,11.7,1039.0,782.0,1422.0,16.3,50.0,0.9158,1757.0
235,235,1495.0,11.7,1040.0,809.0,1373.0,17.1,47.9,0.9281,1735.0
236,236,1376.0,9.3,953.0,900.0,1153.0,19.0,42.9,0.937,1636.0
237,237,1305.0,7.6,884.0,980.0,927.0,19.5,42.3,0.9476,1573.0
238,238,1283.0,6.7,844.0,1036.0,766.0,19.5,42.3,0.9493,1539.0
239,239,1392.0,9.7,967.0,930.0,941.0,19.1,43.8,0.9556,1649.0
240,240,1452.0,12.4,1063.0,856.0,1146.0,18.5,46.3,0.9744,1774.0
241,241,1633.0,16.6,1199.0,734.0,1417.0,17.4,51.6,1.0159,1919.0
242,242,1625.0,16.4,1191.0,733.0,1442.0,17.1,51.3,0.9914,1885.0
243,243,1535.0,13.7,1108.0,785.0,1323.0,16.4,53.8,0.9964,1820.0
244,244,1323.0,9.9,973.0,864.0,1125.0,16.2,55.4,1.0132,1712.0
245,245,1309.0,8.9,937.0,905.0,1036.0,15.9,57.7,1.0356,1672.0
246,246,1456.0,10.6,999.0,835.0,1202.0,15.7,58.6,1.0396,1714.0
247,247,1300.0,7.4,872.0,941.0,1054.0,15.1,60.9,1.0398,1577.0
248,248,1203.0,6.2,823.0,1004.0,903.0,15.6,56.6,0.9951,1526.0
249,249,1195.0,6.5,836.0,987.0,885.0,15.2,57.9,0.9941,1554.0
250,250,1117.0,5.8,802.0,1029.0,818.0,15.4,57.8,1.0021,1539.0
251,251,1062.0,4.0,711.0,1136.0,700.0,14.9,60.6,1.0196,1461.0
252,252,947.0,2.1,594.0,1300.0,580.0,14.5,63.0,1.0316,1390.0
253,253,1065.0,3.6,687.0,1143.0,815.0,14.2,66.2,1.063,1492.0
254,254,1155.0,4.4,734.0,1062.0,1035.0,14.5,65.3,1.0704,1528.0
255,255,1220.0,5.4,782.0,996.0,1067.0,15.3,62.1,1.073,1560.0
256,256,1301.0,7.1,862.0,914.0,1114.0,16.3,59.0,1.0868,1633.0
257,257,1279.0,7.3,870.0,911.0,1000.0,18.9,49.6,1.07,1646.0
258,258,1267.0,7.6,883.0,953.0,906.0,19.4,46.1,1.0249,1617.0
259,259,1239.0,6.8,848.0,981.0,822.0,20.8,41.6,1.0091,1568.0
260,260,1128.0,4.6,742.0,1144.0,610.0,21.4,40.3,1.0126,1507.0
261,261,1243.0,8.4,916.0,962.0,657.0,21.2,39.3,0.9791,1669.0
262,262,1208.0,6.9,853.0,1060.0,647.0,20.3,38.0,0.8942,1506.0
263,263,1306.0,9.0,938.0,961.0,762.0,19.4,41.3,0.9206,1607.0
264,264,1546.0,15.1,1151.0,769.0,1122.0,18.5,43.8,0.9252,1874.0
265,265,1501.0,12.6,1071.0,823.0,1130.0,17.8,48.1,0.9689,1744.0
266,266,1605.0,15.1,1153.0,769.0,1637.0,17.9,46.9,0.952,1840.0
267,267,1316.0,9.9,974.0,883.0,1272.0,17.4,49.1,0.9688,1673.0
268,268,1195.0,8.0,898.0,933.0,1098.0,17.0,51.7,0.9914,1594.0
269,269,1211.0,7.9,896.0,920.0,1066.0,16.4,55.1,1.0198,1624.0
270,270,1161.0,6.1,815.0,995.0,909.0,16.1,60.0,1.0919,1582.0
271,271,1095.0,5.1,767.0,1050.0,818.0,15.8,60.5,1.0805,1547.0
272,272,897.0,1.7,563.0,1417.0,472.0,16.3,57.0,1.0491,1355.0
273,273,842.0,0.7,468.0,1813.0,394.0,16.9,53.9,1.0309,1274.0
274,274,854.0,0.8,481.0,1756.0,396.0,16.1,55.9,1.0153,1304.0
275,275,845.0,0.7,472.0,1786.0,378.0,16.5,53.9,1.0049,1278.0
276,276,942.0,2.0,586.0,1480.0,432.0,16.4,54.0,0.9979,1373.0
277,277,1090.0,5.1,768.0,1072.0,699.0,15.7,57.6,1.0195,1538.0
278,278,1514.0,17.7,1230.0,732.0,1252.0,15.8,53.7,0.9571,1996.0
279,279,1379.0,18.4,1252.0,711.0,1237.0,17.4,42.1,0.8281,1962.0
280,280,1074.0,6.9,854.0,1032.0,772.0,17.9,38.4,0.7793,1484.0
281,281,1090.0,7.3,868.0,1026.0,766.0,18.5,36.7,0.7764,1509.0
282,282,1110.0,9.6,964.0,947.0,829.0,21.0,29.6,0.7263,1577.0
283,283,1102.0,10.4,994.0,955.0,783.0,21.3,28.1,0.7067,1599.0
284,284,1100.0,11.2,1021.0,952.0,822.0,21.3,26.1,0.6539,1607.0
285,285,1094.0,10.7,1003.0,965.0,813.0,21.3,26.8,0.6681,1574.0
286,286,1076.0,11.6,1034.0,964.0,813.0,21.3,24.2,0.606,1544.0
287,287,1152.0,12.4,1062.0,928.0,850.0,20.2,28.5,0.6682,1606.0
288,288,1407.0,18.3,1249.0,720.0,1276.0,17.0,43.1,0.8264,1932.0
289,289,1438.0,21.0,1325.0,678.0,1401.0,15.6,47.4,0.8347,1993.0
290,290,1425.0,21.0,1325.0,678.0,1356.0,15.3,47.4,0.8178,1965.0
291,291,1279.0,14.5,1131.0,775.0,1243.0,14.5,49.7,0.8177,1758.0
292,292,1132.0,8.4,916.0,920.0,1083.0,13.9,52.0,0.8231,1561.0
293,293,1006.0,4.3,729.0,1142.0,795.0,14.5,49.4,0.8106,1370.0
294,294,982.0,3.8,700.0,1204.0,735.0,13.8,51.4,0.8071,1359.0
295,295,969.0,2.7,636.0,1271.0,684.0,14.0,51.3,0.8163,1309.0
296,296,941.0,2.5,621.0,1298.0,714.0,13.0,56.8,0.8444,1330.0
297,297,892.0,1.2,522.0,1522.0,456.0,11.0,70.0,0.9215,1285.0
298,298,855.0,0.8,478.0,1701.0,401.0,10.1,76.8,0.9483,1261.0
299,299,834.0,0.6,459.0,1908.0,361.0,8.8,80.5,0.9147,1212.0
300,300,909.0,1.8,567.0,1542.0,418.0,9.6,75.4,0.9004,1287.0
301,301,1061.0,4.6,745.0,1178.0,616.0,9.8,75.0,0.9093,1429.0
302,302,1441.0,14.2,1124.0,851.0,1089.0,10.0,74.2,0.9117,1829.0
303,303,1498.0,21.0,1325.0,684.0,1329.0,11.2,69.7,0.9232,2095.0
304,304,1343.0,16.2,1185.0,760.0,1311.0,12.0,62.9,0.8803,1857.0
305,305,1308.0,15.5,1166.0,792.0,1236.0,12.8,55.8,0.821,1794.0
306,306,1209.0,13.4,1097.0,837.0,1147.0,13.1,54.8,0.8234,1746.0
307,307,1310.0,16.9,1207.0,770.0,1301.0,13.8,53.4,0.8351,1847.0
308,308,1171.0,12.4,1064.0,881.0,1097.0,16.0,42.4,0.7674,1639.0
309,309,1112.0,10.1,980.0,924.0,900.0,14.1,49.8,0.7971,1589.0
310,310,1132.0,8.7,927.0,944.0,781.0,12.0,61.1,0.8537,1570.0
311,311,1225.0,13.8,1111.0,818.0,1013.0,13.6,54.6,0.8465,1719.0
